Actual,Error,Item_id,Predicted,Store_id,Sum Actual,Sum Predicted
[2 3 0 1 1 1 0 3 1],116.666666667,228,[ 2.  2.  3.  2.  2.  3.  4.  4.  4.],203,12,26.0
[2 2 0 0 0 0 1 1 1],42.8571428571,228,[ 1.  0.  1.  1.  2.  0.  2.  2.  1.],204,7,10.0
[0 0 0 0 0 0 0 0 1],500.0,228,[ 0.  0.  2.  0.  0.  0.  1.  2.  1.],205,1,6.0
[0 2 1 1 1 0 1 0 0],66.6666666667,228,[ 0.  0.  0.  0.  0.  1.  0.  1.  0.],206,6,2.0
[0 1 1 4 2 2 2 2 4],44.4444444444,228,[ 4.  1.  1.  1.  3.  1.  4.  4.  7.],207,18,26.0
[2 2 0 0 0 0 1 1 0],0.0,228,[ 0.  1.  1.  0.  0.  2.  0.  1.  1.],208,6,6.0
[1 0 0 0 0 0 0 0 0],700.0,228,[ 2.  0.  3.  3.  0.  0.  0.  0.  0.],209,1,8.0
[1 1 4 1 1 1 1 1 2],7.69230769231,228,[ 0.  0.  1.  1.  1.  1.  5.  2.  1.],210,13,12.0
[2 1 1 0 3 0 3 0 3],46.1538461538,228,[ 3.  4.  1.  2.  2.  1.  2.  2.  2.],211,13,19.0
[0 0 2 1 0 0 0 0 0],66.6666666667,228,[ 1.  0.  0.  0.  0.  0.  3.  0.  1.],212,3,5.0
[1 0 0 0 1 1 0 1 3],157.142857143,228,[ 2.  2.  2.  1.  3.  2.  2.  3.  1.],215,7,18.0
[1 1 0 1 1 3 2 1 3],92.3076923077,228,[ 4.  7.  2.  5.  2.  1.  2.  1.  1.],216,13,25.0
[3 0 1 1 0 0 1 1 0],28.5714285714,228,[ 0.  1.  0.  0.  2.  1.  2.  1.  2.],217,7,9.0
[0 1 0 2 1 1 2 0 1],100.0,228,[ 0.  0.  0.  0.  0.  0.  0.  0.  0.],218,8,0.0
[1 1 0 3 0 0 0 1 2],187.5,228,[ 2.  4.  4.  5.  2.  3.  1.  1.  1.],219,8,23.0
[1 1 1 0 1 1 1 1 1],12.5,228,[ 1.  0.  0.  0.  2.  0.  1.  2.  1.],220,8,7.0
[1 0 0 0 1 1 1 1 1],83.3333333333,228,[ 2.  1.  1.  1.  2.  0.  3.  1.  0.],221,6,11.0
